X-Men: The Animated Series;X-Men- TAS
Batman: The Animated Series;Batman- TAS
Superman: The Animated Series;Superman- TAS
My Little Pony: Friendship Is Magic;My Little Pony- FIM
Epic Rap Battles of History;ERBoH
How It Should Have Ended;HISHE
Xena: Warrior Princess;Xena
Star Trek- The Next Generation;Star Trek TNG
Star Trek- The Original Series;Star Trek TOS
Avatar: The Last Airbender;The Last Airbender
Star Wars: The Clone Wars;The Clone Wars
Mobile Suit Gundam SEED;Gundam SEED
Mobile Suit Gundam SEED Destiny;Gundam SEED Destiny
Mobile Suit Gundam Wing;Gundam Wing
Hunter x Hunter: Original Video Animation;Hunter x Hunter- OVA
Battlestar Galactica (2003);Battlestar Galactica
The Legend of the Galactic Heroes - Die Neue These (銀河英雄伝説 Die Neue These 邂逅);The Legend of the Galactic Heroes- DNT
Pride and Prejudice (1980);Pride and Prejudice