X-Men - The Animated Series;X-Men - TAS
Batman - The Animated Series;Batman - TAS
Superman - The Animated Series;Superman - TAS
My Little Pony - Friendship Is Magic;My Little Pony
Epic Rap Battles of History;ERBoH
How It Should Have Ended;HISHE
Hercules - The Legendary Journeys;Hercules
Xena - Warrior Princess;Xena
Star Trek - The Next Generation;Star Trek TNG
Star Trek - The Original Series;Star Trek TOS
Legend of Korra;Avatar - The Legend of Korra
Fear The Walking Dead;Walking Dead, Fear The
The Legend of Korra;Avatar - The Legend of Korra
Battlestar Galactica (2003);Battlestar Galactica